number,F_C,code_LWJ,last name,last name1,first name,name,string,line,sex,son-in-law,Gov._Exam,Grade,occupational_title,grade2,New_Grade,place of family origin,Final_place of family origin,Final_period,Birth_Year,Death_Year,Date_OT,father,grand_f,great_grand_f,great_great_grand_f,father_of_m,grand_father_of_mother,great_grand_father_of_mother,spouse1_familyname,spouse1_place of family origin,son_by_spouse1,daughter_by_spouse1,father_spouse1,grand_father_spouse1,great_grand_father_spouse1,father_of_mother_spouse1,grand_of_mother_spouse1,great_grand_father_of_mother_spouse1,spouse2_familyname,spouse2_place of family origin,son_by_spouse2,daughter_by_spouse2,father_spouse2,grand_father_spouse2,great_grand_father_spouse2,father_of_mother_spouse2,grand_mother_spouse2,great_grand_mother_spouse2,spouse3_familyname,spouse3_place of family origin,son_by_spouse3,daughter_by_spouse3,father_spouse3,grand_father_spouse3,great_grand_father_spouse3,mother_spouse3,grand_mother_spouse3,great_grand_mother_spouse3,spouse4_familyname,spouse4_place of family origin,son_by_spouse4,daughter_by_spouse4,father_spouse4,grand_father_spouse4,great_grand_father_spouse4,mother_spouse4,grand_mother_spouse4,great_grand_mother_spouse4,note,1g,2g,3g,4g,5g,6g,7g,8g,9g,10g,11g,12g,13g,14g,15g,16g,17g,18g,19g,20g,21g,22g,line,sex,son-in-law,period,generation,duplicates,q,last,When Last,q,q
35,35,9385,권,1,형,형,a 1 1 1 1 1 1 1 1 1 4 1 3 1,0,0,0,관직자,1,,,,안동,안동,9,,,,권윤보,권자여,권중시,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,3,1,,,,,,,,,,0,0,0,10,13,,27,,15,1,0
36,36,9398,권,1,연,연,a 1 1 1 1 1 1 1 1 1 4 1 3 2,0,0,0,,6,충주판관,5,,안동,안동,9,,,,권윤보,권자여,권중시,권이여,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,3,2,,,,,,,,,,0,0,0,10,13,,27,,19,0,0
37,37,9483,강,21,창귀,강창귀,a 1 1 1 1 1 1 1 1 1 4 1 3 3,0,1,1,,10,시중,1,,진주,진주,9,,,,,,,,,,,,,1,,권윤보,권자여,권수홍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,3,3,,,,,,,,,,1,1,1,10,13,,27,,19,0,0
38,38,9662,권,1,확,확,a 1 1 1 1 1 1 1 1 1 4 1 3 4,0,0,0,,1,영동정,11,,안동,안동,9,,,,권윤보,권자여,권수홍,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,3,4,,,,,,,,,,0,0,0,10,13,,27,,16,1,0
39,39,9666,이,4,오춘,이오춘,a 1 1 1 1 1 1 1 1 1 4 1 3 5,0,1,1,,8,전객,15,,,,9,,,,,,,,,,,권,안동,2,,권윤보,권자여,권수홍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,3,5,,,,,,,,,,1,1,1,10,13,,27,,14,0,0
40,40,9669,권,1,이,이,a 1 1 1 1 1 1 1 1 1 4 1 3 6,0,0,0,,8,예빈경,3,,안동,안동,9,,,,권윤보,권자여,권수홍,권중시,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,3,6,,,,,,,,,,0,0,0,10,13,,27,,16,0,0
41,41,9678,권,1,거남,거남,a 1 1 1 1 1 1 1 1 1 4 1 3 7,0,0,0,문과,8,봉익,2,,안동,안동,9,,,1402,권윤보,권자여,권수홍,권중시,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,3,7,,,,,,,,,,0,0,0,10,13,,27,,17,0,0
42,42,9700,권,1,조여,조여,a 1 1 1 1 1 1 1 1 1 4 1 4,0,0,0,,10,삼중,1,,안동,안동,8,,,,권자여,권수홍,권중시,권이여,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,4,,,,,,,,,,,0,0,0,9,12,,25,1,12,0,0
43,43,9701,권,1,빈,빈,a 1 1 1 1 1 1 1 1 1 4 1 5,0,0,0,,4,중문지후,6,,안동,안동,8,,,,권자여,권수홍,권중시,권이여,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,5,,,,,,,,,,,0,0,0,9,12,,25,,17,1,0
44,44,9702,권,1,덕수,덕수,a 1 1 1 1 1 1 1 1 1 4 1 5 1,0,0,0,관직자,0,,,,안동,안동,9,,,,권빈,권자여,권수홍,권중시,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,5,1,,,,,,,,,,0,0,0,10,13,,27,,17,0,0
